ct2010,MedianRent2016,MedianRent2012,Change20162012,UnempRate2016,eviction-rate,eviction-filing-rate,rent-burden,poverty-rate,TotalEMployees,FoodServicePct,FinancialPct,EducationPct,SocialServPct,ConstructionPct,Shipping_Manuf
058400,1305,1139,166,4.5,0.2,2.65,31.2,6.36,1690,0.038461538461539,0.086390532544379,0.06094674556213,0.004733727810651,0.024260355029586,0.143786982248521
059600,782,682,100,5.8,0.2,1.43,30.4,5.26,1175,0.051063829787234,0.062978723404255,0.117446808510638,0.063829787234043,0.012765957446809,0.143829787234043
000100,1478,1418,60,4.4,0.21,1.17,28.8,0,2467,0.00932306445075,0.123226591001216,0.143899473044183,0.040129712201054,0.020672882042967,0
003300,2266,1835,431,3.4,0.21,2.82,25.9,11.48,2569,0.016348773841962,0.137407551576489,0.08991825613079,0.021409108602569,0.004671078240561,0.022966134682756
018800,1396,1430,-34,6.5,0.21,1.25,38.4,22.77,1348,0.032640949554896,0.090504451038576,0.071958456973294,0.00593471810089,0.129080118694362,0.160237388724036
020400,1629,1185,444,10.8,0.21,2.21,25.9,2.71,1024,0.03515625,0.07421875,0.1015625,0.0048828125,0.017578125,0.0732421875
053500,1090,1018,72,4,0.21,0.84,50,56.2,1115,0.050224215246637,0.035874439461883,0.200896860986547,0.038565022421525,0,0.063677130044843
050202,1681,1572,109,1.9,0.22,0.43,32.8,2.11,1226,0.00978792822186,0.077487765089723,0.123980424143556,0.025285481239804,0.021207177814029,0.056280587275693
052900,1037,927,110,2.8,0.22,0.65,43.6,44.8,1159,0.031061259706644,0.01725625539258,0.167385677308024,0.032786885245902,0,0.15358067299396
057900,1481,1205,276,3.4,0.22,4.43,32.3,15,733,0.036834924965894,0.030013642564802,0.076398362892224,0,0.053206002728513,0.068212824010914
005800,1311,1207,104,8.5,0.23,2.43,33.4,21.09,1511,0.063534083388485,0.090668431502316,0.117140966247518,0,0.051621442753144,0.088021178027796
035000,1043,933,110,15.3,0.23,4.26,37,22.29,1378,0,0.026850507982584,0.06966618287373,0.023947750362845,0.096516690856314,0.068940493468795
036002,1065,874,191,15.7,0.23,2.77,38.3,21.79,1394,0.029411764705882,0.03012912482066,0.062410329985653,0.009325681492109,0,0.149210903873745
047800,1306,1259,47,8,0.23,2.76,50,32.1,1719,0.01803374054683,0.045375218150087,0.164048865619546,0.013961605584642,0.14368819080861,0.090168702734148
008400,1266,1215,51,5.5,0.24,1.43,34.6,24.88,1950,0.105128205128205,0.01948717948718,0.044102564102564,0.014871794871795,0.158461538461538,0.167692307692308
026000,1340,1192,148,9.7,0.24,1.43,33.5,20.61,1416,0.088276836158192,0.082627118644068,0.059322033898305,0,0.031779661016949,0.097457627118644
040600,1249,1077,172,7.7,0.24,2.08,43.6,6.39,1767,0.090548953027731,0.040181097906056,0.044708545557442,0,0.118845500848896,0.101867572156197
049700,1856,1721,135,5,0.24,0.79,27.5,5.71,2213,0.073203795752372,0.120650700406688,0.03524627202892,0,0.019430637144148,0.030275643922278
050300,1882,1654,228,4,0.24,1.79,26.5,7.34,1788,0.076062639821029,0.104586129753915,0.041946308724832,0.028523489932886,0.018456375838926,0.051454138702461
056100,1720,1383,337,4.5,0.24,0.72,26.4,1.82,2268,0.061287477954145,0.095679012345679,0.02689594356261,0.010582010582011,0.016754850088184,0.043650793650794
021100,1223,1186,37,8,0.25,0.25,28.6,22.44,999,0.049049049049049,0.005005005005005,0.055055055055055,0.036036036036036,0,0.115115115115115
